image_width,image_height,filter_size,filter_type,version,device_name,block_width,block_height,repeat_count,estimated_operations,cpu_time_ms,cpu_min_time_ms,cpu_max_time_ms,cpu_stddev_time_ms,gpu_kernel_time_ms,gpu_kernel_min_time_ms,gpu_kernel_max_time_ms,gpu_kernel_stddev_time_ms,gpu_total_time_ms,gpu_total_min_time_ms,gpu_total_max_time_ms,gpu_total_stddev_time_ms,gpu_allocation_time_ms,gpu_host_to_device_time_ms,gpu_device_to_host_time_ms,gpu_free_time_ms,kernel_speedup,total_speedup,cpu_gflops,gpu_kernel_gflops,max_abs_error,mean_abs_error,passed
512,512,3,box,cuda_shared_constant_filter,"NVIDIA GeForce RTX 4070 Laptop GPU",32,8,5,4718592,2.203500,2.183700,2.266000,0.031473,0.019187,0.014144,0.036864,0.008872,1.062187,1.057144,1.079864,0.008872,0.130800,0.384600,0.183600,0.344000,114.842184,2.074493,2.141408,245.923944,0.000000,0.000000,true
512,512,3,box,cuda_multi_output,"NVIDIA GeForce RTX 4070 Laptop GPU",32,8,5,4718592,2.203500,2.183700,2.266000,0.031473,0.013722,0.013312,0.015360,0.000819,0.922322,0.921912,0.923960,0.000819,0.132800,0.327300,0.133700,0.314800,160.586231,2.389080,2.141408,343.880602,0.000000,0.000000,true
512,512,3,box,cuda_register_tiled,"NVIDIA GeForce RTX 4070 Laptop GPU",32,8,5,4718592,2.203500,2.183700,2.266000,0.031473,0.017581,0.012288,0.035840,0.009138,0.925081,0.919788,0.943340,0.009138,0.193500,0.289300,0.137500,0.287200,125.335592,2.381954,2.141408,268.394610,0.000000,0.000000,true
512,512,3,box,cuda_separable,"NVIDIA GeForce RTX 4070 Laptop GPU",32,8,5,3145728,2.203500,2.183700,2.266000,0.031473,0.032986,0.016384,0.070656,0.021125,0.844786,0.828184,0.882456,0.021125,0.157200,0.298400,0.137100,0.219100,66.801876,2.608354,1.427605,95.366704,0.000000,0.000000,true
512,512,3,box,cuda_naive_global_memory,"NVIDIA GeForce RTX 4070 Laptop GPU",32,16,5,4718592,2.203500,2.183700,2.266000,0.031473,0.014496,0.014336,0.015136,0.000320,0.961796,0.961636,0.962436,0.000320,0.125700,0.374900,0.146800,0.299900,152.007449,2.291026,2.141408,325.509931,0.000000,0.000000,true
512,512,3,box,cuda_shared_memory_tiled,"NVIDIA GeForce RTX 4070 Laptop GPU",32,16,5,4718592,2.203500,2.183700,2.266000,0.031473,0.020672,0.015360,0.038912,0.009128,0.861672,0.856360,0.879912,0.009128,0.155800,0.299600,0.131900,0.253700,106.593463,2.557238,2.141408,228.260068,0.000000,0.000000,true
512,512,3,box,cuda_shared_constant_filter,"NVIDIA GeForce RTX 4070 Laptop GPU",32,16,5,4718592,2.203500,2.183700,2.266000,0.031473,0.022938,0.017408,0.040960,0.009034,1.064938,1.059408,1.082960,0.009034,0.173600,0.324500,0.206400,0.337500,96.064977,2.069135,2.141408,205.714286,0.000000,0.000000,true
512,512,3,box,cuda_multi_output,"NVIDIA GeForce RTX 4070 Laptop GPU",32,16,5,4718592,2.203500,2.183700,2.266000,0.031473,0.018637,0.013312,0.036864,0.009122,0.833437,0.828112,0.851664,0.009122,0.150500,0.285100,0.137500,0.241700,118.233815,2.643872,2.141408,253.186808,0.000000,0.000000,true
512,512,3,box,cuda_register_tiled,"NVIDIA GeForce RTX 4070 Laptop GPU",32,16,5,4718592,2.203500,2.183700,2.266000,0.031473,0.016563,0.011264,0.033792,0.008639,0.874463,0.869164,0.891692,0.008639,0.147200,0.305900,0.129600,0.275200,133.035885,2.519832,2.141408,284.884077,0.000000,0.000000,true
512,512,3,box,cuda_separable,"NVIDIA GeForce RTX 4070 Laptop GPU",32,16,5,3145728,2.203500,2.183700,2.266000,0.031473,0.024154,0.016384,0.052224,0.014055,0.947454,0.939684,0.975524,0.014055,0.134800,0.364300,0.132600,0.291600,91.228637,2.325708,1.427605,130.238474,0.000000,0.000000,true
