image_width,image_height,filter_size,filter_type,version,device_name,repeat_count,estimated_operations,cpu_time_ms,cpu_min_time_ms,cpu_max_time_ms,cpu_stddev_time_ms,gpu_kernel_time_ms,gpu_kernel_min_time_ms,gpu_kernel_max_time_ms,gpu_kernel_stddev_time_ms,gpu_total_time_ms,gpu_total_min_time_ms,gpu_total_max_time_ms,gpu_total_stddev_time_ms,gpu_allocation_time_ms,gpu_host_to_device_time_ms,gpu_device_to_host_time_ms,gpu_free_time_ms,kernel_speedup,total_speedup,cpu_gflops,gpu_kernel_gflops,max_abs_error,mean_abs_error,passed
2048,2048,7,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,411041792,211.098520,205.438400,227.113900,8.139085,1.939610,1.933312,1.951744,0.006670,17.884610,17.878312,17.896744,0.006670,0.832000,7.258200,6.085000,1.769800,108.835572,11.803362,1.947156,211.919859,0.000000,0.000000,true
2048,2048,7,gaussian,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,117440512,211.098520,205.438400,227.113900,8.139085,1.289088,1.282624,1.294336,0.004208,14.723888,14.717424,14.729136,0.004208,1.000900,6.277700,4.928100,1.228100,163.758041,14.337145,0.556330,91.103567,0.000000,0.000000,true
2048,2048,7,sharpen,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,411041792,216.716220,209.870300,231.713900,8.299141,2.649914,2.644224,2.660288,0.005461,18.990914,18.985224,19.001288,0.005461,0.296800,7.390000,7.638900,1.015300,81.782372,11.411574,1.896682,155.115168,0.000001,0.000000,true
2048,2048,7,sharpen,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,411041792,216.716220,209.870300,231.713900,8.299141,2.767443,2.742048,2.806784,0.021795,19.416043,19.390648,19.455384,0.021795,0.836300,7.120100,7.661400,1.030800,78.309184,11.161709,1.896682,148.527633,0.000001,0.000000,true
2048,2048,7,sharpen,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,411041792,216.716220,209.870300,231.713900,8.299141,1.943475,1.931264,1.973344,0.015911,15.310675,15.298464,15.340544,0.015911,0.711400,4.607200,7.267500,0.781100,111.509640,14.154583,1.896682,211.498347,0.000001,0.000000,true
2048,2048,7,sobel,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,411041792,208.481700,203.670400,213.143000,3.827345,4.679590,4.652032,4.773920,0.047420,32.216790,32.189232,32.311120,0.047420,0.313900,14.317400,11.328700,1.577200,44.551271,6.471213,1.971597,87.837130,0.000000,0.000000,true
2048,2048,7,sobel,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,411041792,208.481700,203.670400,213.143000,3.827345,4.493920,4.473088,4.533184,0.022268,31.418320,31.397488,31.457584,0.022268,0.317500,14.543100,10.967300,1.096500,46.391947,6.635673,1.971597,91.466201,0.000000,0.000000,true
2048,2048,7,sobel,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,411041792,208.481700,203.670400,213.143000,3.827345,2.362144,2.262944,2.735648,0.186828,25.232944,25.133744,25.606448,0.186828,0.686600,14.280000,6.308300,1.595900,88.259524,8.262282,1.971597,174.012169,0.000000,0.000000,true
2048,2048,11,box,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,1015021568,486.999000,473.290500,522.085900,17.903411,18.918029,15.738816,20.720097,2.219348,68.999029,65.819816,70.801097,2.219348,0.307000,28.106500,20.647400,1.020100,25.742586,7.058056,2.084237,53.653663,0.000000,0.000000,true
2048,2048,11,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,1015021568,486.999000,473.290500,522.085900,17.903411,15.529638,15.488352,15.612832,0.044134,65.492738,65.451452,65.575932,0.044134,0.316100,28.200800,20.614400,0.831800,31.359327,7.435924,2.084237,65.360284,0.000000,0.000000,true
2048,2048,11,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,1015021568,486.999000,473.290500,522.085900,17.903411,4.765946,4.704640,4.890624,0.064396,17.553946,17.492640,17.678624,0.064396,0.429500,6.358700,5.215000,0.784800,102.183081,27.742994,2.084237,212.973808,0.000000,0.000000,true
2048,2048,11,box,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,184549376,486.999000,473.290500,522.085900,17.903411,1.646733,1.639424,1.659040,0.006874,15.891733,15.884424,15.904040,0.006874,0.601200,7.851400,4.814200,0.978200,295.736502,30.644802,0.378952,112.070018,0.000000,0.000000,true
