image_width,image_height,filter_size,version,device_name,repeat_count,estimated_operations,cpu_time_ms,cpu_min_time_ms,cpu_max_time_ms,cpu_stddev_time_ms,gpu_kernel_time_ms,gpu_kernel_min_time_ms,gpu_kernel_max_time_ms,gpu_kernel_stddev_time_ms,gpu_total_time_ms,gpu_total_min_time_ms,gpu_total_max_time_ms,gpu_total_stddev_time_ms,gpu_allocation_time_ms,gpu_host_to_device_time_ms,gpu_device_to_host_time_ms,gpu_free_time_ms,kernel_speedup,total_speedup,cpu_gflops,gpu_kernel_gflops,max_abs_error,mean_abs_error,passed
512,512,3,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.464780,3.199000,4.001600,0.292688,0.067770,0.063488,0.083904,0.008069,4.127470,4.123188,4.143604,0.008069,1.215600,1.904600,0.549900,0.389600,51.125873,0.839444,1.361873,69.626971,0.000000,0.000000,true
512,512,3,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.464780,3.199000,4.001600,0.292688,0.073754,0.073152,0.074976,0.000642,1.822354,1.821752,1.823576,0.000642,0.149900,0.641700,0.621100,0.335900,46.977775,1.901267,1.361873,63.977786,0.000000,0.000000,true
512,512,3,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.464780,3.199000,4.001600,0.292688,0.072691,0.067360,0.081536,0.006233,3.709591,3.704260,3.718436,0.006233,0.559700,0.771500,1.146400,1.159300,47.664366,0.934006,1.361873,64.912836,0.000000,0.000000,true
512,512,3,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,3145728,3.464780,3.199000,4.001600,0.292688,0.079386,0.078752,0.079904,0.000378,1.734986,1.734352,1.735504,0.000378,0.173100,0.598200,0.498200,0.386100,43.644943,1.997008,0.907916,39.625927,0.000000,0.000000,true
512,512,5,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,13107200,7.521200,7.136100,7.967300,0.331466,0.110547,0.108512,0.112640,0.001723,2.210447,2.208412,2.212540,0.001723,0.649800,0.560700,0.514800,0.374600,68.036097,3.402569,1.742701,118.566549,0.000000,0.000000,true
512,512,5,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,13107200,7.521200,7.136100,7.967300,0.331466,0.122778,0.118880,0.136224,0.006730,1.919978,1.916080,1.933424,0.006730,0.217300,0.629600,0.624800,0.325500,61.258730,3.917337,1.742701,106.755628,0.000000,0.000000,true
512,512,5,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,13107200,7.521200,7.136100,7.967300,0.331466,0.100979,0.097952,0.104608,0.002266,2.262979,2.259952,2.266608,0.002266,0.611600,0.423300,0.509000,0.618100,74.482666,3.323583,1.742701,129.800989,0.000000,0.000000,true
512,512,5,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,5242880,7.521200,7.136100,7.967300,0.331466,0.084294,0.075488,0.104448,0.011540,3.027594,3.018788,3.047748,0.011540,0.987700,1.107400,0.516800,0.331400,89.225380,2.484217,0.697080,62.197251,0.000000,0.000000,true
512,512,7,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,25690112,13.054440,12.807800,13.434000,0.248920,0.233152,0.193088,0.259680,0.022804,3.035252,2.995188,3.061780,0.022804,0.228400,0.909800,0.641400,1.022500,55.991113,4.300941,1.967921,110.186111,0.000000,0.000000,true
512,512,7,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,25690112,13.054440,12.807800,13.434000,0.248920,0.200544,0.198816,0.201312,0.000915,1.919144,1.917416,1.919912,0.000915,0.313500,0.394300,0.674600,0.336200,65.095140,6.802220,1.967921,128.102121,0.000000,0.000000,true
512,512,7,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,25690112,13.054440,12.807800,13.434000,0.248920,0.146458,0.143360,0.149248,0.001957,2.288458,2.285360,2.291248,0.001957,0.201300,0.693300,0.559200,0.688200,89.134602,5.704471,1.967921,175.409893,0.000000,0.000000,true
512,512,7,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,7340032,13.054440,12.807800,13.434000,0.248920,0.101222,0.096896,0.108160,0.003730,3.268222,3.263896,3.275160,0.003730,0.252700,0.937000,1.212500,0.764800,128.967898,3.994355,0.562263,72.513911,0.000000,0.000000,true
512,512,11,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,63438848,35.899780,33.662900,40.086900,2.324895,0.460173,0.453952,0.464864,0.004138,3.240273,3.234052,3.244964,0.004138,0.430400,0.574400,1.013200,0.762100,78.013694,11.079246,1.767110,137.858752,0.000000,0.000000,true
512,512,11,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,63438848,35.899780,33.662900,40.086900,2.324895,0.458214,0.457216,0.458752,0.000556,2.247714,2.246716,2.248252,0.000556,0.216100,0.581500,0.654400,0.337500,78.347123,15.971682,1.767110,138.447957,0.000000,0.000000,true
512,512,11,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,63438848,35.899780,33.662900,40.086900,2.324895,0.328346,0.321536,0.337472,0.006575,3.439546,3.432736,3.448672,0.006575,0.658700,1.070600,0.915600,0.466300,109.335348,10.437361,1.767110,193.207549,0.000000,0.000000,true
512,512,11,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,11534336,35.899780,33.662900,40.086900,2.324895,0.118989,0.118240,0.120544,0.000803,2.068889,2.068140,2.070444,0.000803,0.248200,0.648600,0.517800,0.535300,301.707216,17.352204,0.321293,96.936315,0.000000,0.000000,true
