image_width,image_height,filter_size,filter_type,version,device_name,block_width,block_height,repeat_count,estimated_operations,cpu_time_ms,cpu_min_time_ms,cpu_max_time_ms,cpu_stddev_time_ms,gpu_kernel_time_ms,gpu_kernel_min_time_ms,gpu_kernel_max_time_ms,gpu_kernel_stddev_time_ms,gpu_total_time_ms,gpu_total_min_time_ms,gpu_total_max_time_ms,gpu_total_stddev_time_ms,gpu_allocation_time_ms,gpu_host_to_device_time_ms,gpu_device_to_host_time_ms,gpu_free_time_ms,kernel_speedup,total_speedup,cpu_gflops,gpu_kernel_gflops,max_abs_error,mean_abs_error,passed
512,512,5,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,13107200,7.115940,6.845900,7.438800,0.211020,0.128435,0.126976,0.131808,0.001846,3.029935,3.028476,3.033308,0.001846,0.352100,0.650400,1.154600,0.744400,55.404904,2.348545,1.841949,102.053019,0.000000,0.000000,true
512,512,5,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,13107200,7.115940,6.845900,7.438800,0.211020,0.100275,0.099200,0.102304,0.001135,1.699075,1.698000,1.701104,0.001135,0.215700,0.557500,0.524700,0.300900,70.964107,4.188125,1.841949,130.712281,0.000000,0.000000,true
512,512,5,box,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,5242880,7.115940,6.845900,7.438800,0.211020,0.112902,0.093632,0.151680,0.022455,3.517702,3.498432,3.556480,0.022455,0.597500,2.001100,0.486400,0.319800,63.027360,2.022894,0.736780,46.437278,0.000000,0.000000,true
512,512,5,box,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,13107200,7.115940,6.845900,7.438800,0.211020,0.107763,0.106496,0.108512,0.000743,1.735663,1.734396,1.736412,0.000743,0.154500,0.663100,0.532700,0.277600,66.033118,4.099839,1.841949,121.629649,0.000000,0.000000,true
512,512,5,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,13107200,7.115940,6.845900,7.438800,0.211020,0.124013,0.121120,0.126976,0.001953,2.052813,2.049920,2.055776,0.001953,0.242800,0.558200,0.743300,0.384500,57.380690,3.466434,1.841949,105.692316,0.000000,0.000000,true
512,512,5,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,13107200,7.115940,6.845900,7.438800,0.211020,0.099712,0.098528,0.100672,0.000923,2.282612,2.281428,2.283572,0.000923,0.551200,0.794100,0.558500,0.279100,71.364933,3.117455,1.841949,131.450581,0.000000,0.000000,true
512,512,5,box,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,5242880,7.115940,6.845900,7.438800,0.211020,0.079981,0.076320,0.084736,0.002812,2.254281,2.250620,2.259036,0.002812,0.352100,0.582400,0.727000,0.512800,88.970603,3.156634,0.736780,65.551733,0.000000,0.000000,true
512,512,5,box,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,13107200,7.115940,6.845900,7.438800,0.211020,0.106093,0.096864,0.133120,0.013752,3.065393,3.056164,3.092420,0.013752,0.858700,1.076000,0.685200,0.339400,67.072788,2.321379,1.841949,123.544668,0.000000,0.000000,true
512,512,5,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,13107200,7.115940,6.845900,7.438800,0.211020,0.103437,0.102688,0.104256,0.000613,1.786637,1.785888,1.787456,0.000613,0.206100,0.473300,0.545500,0.458300,68.795052,3.982869,1.841949,126.716991,0.000000,0.000000,true
512,512,5,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,13107200,7.115940,6.845900,7.438800,0.211020,0.091347,0.090112,0.094016,0.001464,3.213447,3.212212,3.216116,0.001464,0.358800,0.912200,1.001600,0.849500,77.899925,2.214426,1.841949,143.487705,0.000000,0.000000,true
512,512,5,box,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,5242880,7.115940,6.845900,7.438800,0.211020,0.078131,0.071456,0.102400,0.012144,1.969831,1.963156,1.994100,0.012144,0.196100,0.706200,0.592100,0.397300,91.076804,3.612462,0.736780,67.103538,0.000000,0.000000,true
512,512,5,box,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,13107200,7.115940,6.845900,7.438800,0.211020,0.115277,0.106400,0.144064,0.014434,3.467077,3.458200,3.495864,0.014434,0.456100,0.755900,1.155900,0.983900,61.729160,2.052432,1.841949,113.701978,0.000000,0.000000,true
512,512,5,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,13107200,7.115940,6.845900,7.438800,0.211020,0.115110,0.114688,0.116192,0.000558,1.719410,1.718988,1.720492,0.000558,0.158500,0.597300,0.571200,0.277300,61.818393,4.138593,1.841949,113.866340,0.000000,0.000000,true
512,512,5,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,13107200,7.115940,6.845900,7.438800,0.211020,0.129638,0.113280,0.168928,0.019961,2.382938,2.366580,2.422228,0.019961,0.125300,0.738800,0.730600,0.658600,54.890682,2.986204,1.841949,101.105847,0.000000,0.000000,true
512,512,5,box,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,5242880,7.115940,6.845900,7.438800,0.211020,0.077562,0.075904,0.079040,0.001305,1.718362,1.716704,1.719840,0.001305,0.215700,0.579500,0.490400,0.355200,91.745661,4.141119,0.736780,67.596338,0.000000,0.000000,true
512,512,5,gaussian,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,13107200,7.331360,6.755900,8.124300,0.455297,0.170662,0.168640,0.175584,0.002533,2.788462,2.786440,2.793384,0.002533,0.928100,0.804100,0.552000,0.333600,42.958261,2.629177,1.787827,76.801919,0.000000,0.000000,true
512,512,5,gaussian,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,13107200,7.331360,6.755900,8.124300,0.455297,0.129050,0.127424,0.130912,0.001331,1.677650,1.676024,1.679512,0.001331,0.147100,0.568000,0.554900,0.278600,56.810404,4.370019,1.787827,101.567148,0.000000,0.000000,true
512,512,5,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,13107200,7.331360,6.755900,8.124300,0.455297,0.110867,0.104480,0.119936,0.006232,3.657867,3.651480,3.666936,0.006232,0.377200,0.952400,1.429000,0.788400,66.127403,2.004272,1.787827,118.224327,0.000000,0.000000,true
512,512,5,gaussian,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,5242880,7.331360,6.755900,8.124300,0.455297,0.119629,0.095136,0.138912,0.019482,2.169729,2.145236,2.189012,0.019482,0.201700,0.663100,0.679400,0.505900,61.284239,3.378929,0.715131,43.826236,0.000000,0.000000,true
512,512,5,gaussian,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,13107200,7.331360,6.755900,8.124300,0.455297,0.109734,0.108448,0.112608,0.001514,2.620334,2.619048,2.623208,0.001514,0.333000,0.626400,0.943400,0.607800,66.810043,2.797872,1.787827,119.444769,0.000000,0.000000,true
512,512,5,gaussian,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,13107200,7.331360,6.755900,8.124300,0.455297,0.119379,0.118784,0.120064,0.000558,1.610479,1.609884,1.611164,0.000558,0.143200,0.587200,0.531200,0.229500,61.412373,4.552285,1.787827,109.794671,0.000000,0.000000,true
512,512,5,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,13107200,7.331360,6.755900,8.124300,0.455297,0.121478,0.101664,0.130496,0.011321,2.370778,2.350964,2.379796,0.011321,0.160800,0.624400,0.703500,0.760600,60.351142,3.092385,1.787827,107.897373,0.000000,0.000000,true
512,512,5,gaussian,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,5242880,7.331360,6.755900,8.124300,0.455297,0.082541,0.075424,0.094208,0.008473,1.762141,1.755024,1.773808,0.008473,0.216000,0.685300,0.503100,0.275200,88.821042,4.160485,0.715131,63.518647,0.000000,0.000000,true
512,512,5,gaussian,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,13107200,7.331360,6.755900,8.124300,0.455297,0.109990,0.100448,0.117536,0.006918,2.304590,2.295048,2.312136,0.006918,0.172100,0.624700,0.611800,0.786000,66.654544,3.181199,1.787827,119.166764,0.000000,0.000000,true
